time,x_rms,x_freq_0,x_mag_0,x_freq_1,x_mag_1,x_freq_2,x_mag_2,y_rms,y_freq_0,y_mag_0,y_freq_1,y_mag_1,y_freq_2,y_mag_2,z_rms,z_freq_0,z_mag_0,z_freq_1,z_mag_1,z_freq_2,z_mag_2 
167543,244.9676,0.7812,2335.9626,3.1250,2184.6265,3.9062,938.7848,602.0526,0.7812,7220.4316,1.5625,4585.7480,3.1250,3084.0620,1592.4862,0.7812,24441.0020,3.1250,3880.3220,2.3438,3233.3057
168818,234.4147,0.7812,2429.7581,2.3438,1430.0938,3.9062,1278.4178,497.1072,0.7812,6781.4844,1.5625,3140.5652,2.3438,2331.7478,1403.7583,0.7812,21164.8145,1.5625,5855.3550,3.1250,2927.3196
170092,158.0540,7.0312,1247.4978,0.7812,1034.6365,6.2500,869.1309,361.3371,0.7812,4609.6123,1.5625,2623.3118,2.3438,1128.5706,1060.4751,0.7812,13478.2432,1.5625,8118.9639,4.6875,2597.3240
171319,18.6992,7.8125,113.4717,6.2500,110.3470,5.4688,107.9733,11.7552,7.8125,58.1105,0.7812,50.8440,7.0312,49.2219,13.5298,16.4062,57.2574,15.6250,49.2187,7.0312,43.9397
172594,7.6669,12.5000,32.2702,26.5625,27.2504,14.0625,26.5452,8.2847,7.0312,39.4621,153.9062,36.1851,8.5938,28.6239,10.7394,7.8125,30.3861,23.4375,29.2368,138.2812,28.9179
173870,7.7636,12.5000,33.0247,9.3750,30.9747,14.8438,26.4108,7.9435,2.3438,24.1372,10.9375,21.9839,132.8125,21.0561,11.4809,146.0938,48.4851,7.8125,36.9579,138.2812,32.2379
175144,7.7925,17.9688,31.7602,13.2812,30.8863,28.9062,25.9137,7.8267,131.2500,31.0145,125.0000,25.1424,123.4375,24.4807,10.9424,146.0938,40.5592,138.2812,37.6785,123.4375,29.4740
176420,7.5070,27.3438,28.5464,10.9375,28.2357,25.0000,27.7017,7.3549,7.8125,24.2606,153.9062,23.9193,146.0938,20.7793,11.5131,136.7188,35.3347,138.2812,34.2568,130.4688,31.3736
177648,8.7984,14.0625,46.9923,26.5625,38.6636,17.9688,32.8128,8.0217,146.0938,25.4091,122.6562,23.1619,13.2812,22.5883,11.8572,123.4375,53.2127,130.4688,46.3108,14.0625,38.5240
178923,7.6868,14.0625,37.3354,29.6875,26.9923,11.7188,26.3823,8.8121,5.4688,33.4508,3.1250,27.9962,10.1562,25.8697,11.1151,130.4688,33.3734,29.6875,33.0729,138.2812,29.6775
